postal code,place name,admin code1,admin name2,admin code2,latitude,longitude,accuracy
99553,Akutan,AK,Aleutians East,013,54.143,-165.7854,1
99571,Cold Bay,AK,Aleutians East,013,55.1858,-162.7211,1
99583,False Pass,AK,Aleutians East,013,54.8542,-163.4113,1
99612,King Cove,AK,Aleutians East,013,55.0628,-162.3056,1
99661,Sand Point,AK,Aleutians East,013,55.3192,-160.4914,1
99546,Adak,AK,Aleutians West (CA),016,51.874,-176.634,1
99547,Atka,AK,Aleutians West (CA),016,52.1961,-174.2006,1
99591,Saint George Island,AK,Aleutians West (CA),016,56.5944,-169.6186,1
99638,Nikolski,AK,Aleutians West (CA),016,52.9381,-168.8678,1
99660,Saint Paul Island,AK,Aleutians West (CA),016,57.1842,-170.2764,1
99685,Unalaska,AK,Aleutians West (CA),016,53.8871,-166.5199,1
99692,Dutch Harbor,AK,Aleutians West (CA),016,53.8898,-166.5422,1
99501,Anchorage,AK,Anchorage Municipality,020,61.2116,-149.8761,1
99502,Anchorage,AK,Anchorage Municipality,020,61.1661,-149.96,1
99503,Anchorage,AK,Anchorage Municipality,020,61.19,-149.8938,1
99504,Anchorage,AK,Anchorage Municipality,020,61.2037,-149.7447,1
99505,Jber,AK,Anchorage Municipality,020,59.8666,-158.5996,1
99506,Jber,AK,Anchorage Municipality,020,59.8666,-158.5996,1
99507,Anchorage,AK,Anchorage Municipality,020,61.1535,-149.8289,1
99508,Anchorage,AK,Anchorage Municipality,020,61.206,-149.8101,1
99509,Anchorage,AK,Anchorage Municipality,020,61.2181,-149.9003,1
99510,Anchorage,AK,Anchorage Municipality,020,61.1446,-149.8784,1
99511,Anchorage,AK,Anchorage Municipality,020,61.0683,-149.8005,1
99513,Anchorage,AK,Anchorage Municipality,020,61.2149,-149.8862,1
99514,Anchorage,AK,Anchorage Municipality,020,61.2181,-149.9003,1
99515,Anchorage,AK,Anchorage Municipality,020,61.1194,-149.8974,1
99516,Anchorage,AK,Anchorage Municipality,020,61.1054,-149.78,1
99517,Anchorage,AK,Anchorage Municipality,020,61.1901,-149.9361,1
99518,Anchorage,AK,Anchorage Municipality,020,61.1549,-149.8866,1
99519,Anchorage,AK,Anchorage Municipality,020,61.1089,-149.4403,1
